Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bahamas,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bosnie-Herzégovine,,,,,,,,,,,100.0,99.4,98.5,100.0,100.0,100.0,99.3872769868445,99.7,100.0,100.0,100.0,99.705780546902,100.0,99.5,100.0,99.7,100.0,100.0,100.0
Bélarus,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belize,,67.0,70.3068161010742,71.4197998046875,72.5339813232422,73.6499557495117,74.7683334350586,75.8896942138672,77.0138092041016,78.1370468139648,79.0,80.3630065917969,81.4568023681641,82.5318374633789,83.5836486816406,84.6104431152344,90.9885308574549,86.6272888183594,87.6405029296875,88.6723709106445,89.9172243747798,91.6817359855335,91.9922561645508,93.1906356811523,94.4246139526367,91.8,96.9637756347656,98.2511520385742,99.5400161743164
Bermudes,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bolivie,,,59.8465957641602,61.209789276123,64.1,63.9403762817383,71.0,67.330431,71.2,70.929888,69.963045,69.258539,63.996855,72.3,76.1259994506836,68.288209,76.211281,80.156567,84.674991,86.765597,88.0331954956055,88.335943,90.387375,89.505686,90.038729,91.522822,91.8,91.8,95.5853652954102
Brésil,87.475116,90.1042251586914,88.803833,89.999927,91.5264511108398,91.728598,92.867095,93.354139,94.193812,94.76296,94.4127731323242,96.016528,96.652996,96.980098,96.765107,97.093513,97.594314,98.125382,98.526625,98.856938,98.9767379760742,99.328691,99.519494,99.575151,99.650247,99.710902,99.7,100.0,100.0
Barbade,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9986267089844,99.9868240356445,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Brunéi Darussalam,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bhoutan,,,,,,,,,,,31.15,40.1987228393555,44.145637512207,41.1,51.9787292480469,59.8081116441343,59.7224540710449,71.8,67.4480819702148,71.3330688476563,73.2829108748978,81.8008422851563,91.5,87.3388442993164,91.3509216308594,95.464729309082,99.5963287353516,97.7,100.0
Botswana,,10.1,10.6452713012695,12.7187643051147,14.7934541702271,16.8699398040771,18.9488220214844,21.0306968688965,23.1153202056885,25.1990661621094,27.2774658203125,24.8,31.4003505706787,33.4358940124512,35.4482154846191,37.4355201721191,39.4067153930664,41.3733863830566,43.1,45.3394889831543,52.6843681335449,53.24,53.3805885314941,53.6997947692871,55.894287109375,58.1154747009277,60.3544654846191,62.602352142334,64.8517227172852
République centrafricaine,,,,,,3.0,3.08757996559143,3.69022059440613,4.29560899734497,4.90012073516846,6.0,6.08863592147827,6.66370105743408,7.22001171112061,7.753098487854,8.26116847991943,7.80516932525804,9.24056434631348,9.73505973815918,10.2481985092163,9.8,13.1532945632935,15.9743528366089,18.5549392700195,21.1823444366455,24.1092948913574,27.0880069732666,29.8344898223877,32.4203987121582
Canada,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Europe centrale et les pays baltes,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.82783470456485,100.0,100.0
Suisse,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Îles Anglo-Normandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chili,92.257427,94.7213973999023,94.560057,95.203498840332,95.446044921875,95.6903839111328,95.617315,96.1868515014648,97.241124,96.6909332275391,97.938687,97.1736297607422,97.3957824707031,98.782325,97.7793655395508,97.9345245361328,99.368108,98.2080993652344,98.3496856689453,99.593662,99.3830032348633,99.588193,100.0,99.6,100.0,99.714844,100.0,100.0,100.0
Chine,,,,,,,,,,,96.9071044921875,97.2181396484375,97.5149002075195,97.7929000854492,98.0476760864258,98.2774353027344,98.491081237793,98.7002105712891,98.9163970947266,99.1512222290039,99.7,99.874382019043,99.9748764038086,100.0,100.0,100.0,100.0,100.0,100.0
Côte d'Ivoire,36.6594924926758,37.787281036377,38.9146156311035,40.039249420166,36.5,42.2695693969727,43.3698501586914,44.456600189209,45.5271148681641,48.2,47.6174240112305,48.6439170837402,51.4,50.6790618896484,51.6955146789551,58.9,53.745677947998,54.7862396240234,55.8373031616211,56.8971138000488,57.9639282226563,59.0359878540039,55.8,61.1888618469238,61.9,62.6,64.3,65.6,66.9911804199219
Cameroun,,29.0,32.676155090332,33.8180122375488,34.9610633850098,36.1059150695801,37.2531623840332,38.4034004211426,40.7,40.70849609375,41.0,46.2,44.114875793457,45.2187843322754,47.1,47.3551368713379,49.0,48.2,50.4718246459961,51.5325622558594,53.2583656311035,53.7,54.9463424682617,56.1663246154785,56.8,58.7187347412109,60.0260848999023,61.3423347473145,62.6600723266602
"Congo, République démocratique du",,,,,,,,,,,6.7,7.26241636276245,7.91727924346924,8.55338764190674,9.16627216339111,6.0,10.3258981704712,15.2,11.4674243927002,12.0603618621826,12.6835260391235,13.348503112793,15.4,14.8229188919067,13.5,16.4397258758545,17.4034118652344,18.2261638641357,18.9776611328125
"Congo, République du",,,,,,,,,,,,,,,,,33.8859786987305,35.9772300720215,38.0755386352539,37.1,42.3396759033203,44.5286712646484,41.6,49.0511207580566,52.3896827697754,60.4,60.7406959533691,64.7098541259766,68.5184326171875
Colombie,89.9,90.9841995239258,91.3042373657227,91.6248779296875,91.9467086791992,91.2,92.5963668823242,92.9253845214844,93.2571563720703,93.5880432128906,95.2,94.2293167114258,94.53076171875,94.8134536743164,95.0729217529297,96.8,95.5257034301758,95.7395248413086,96.806763,96.057229,96.788995,96.6936,97.032176,97.779418,97.790938,98.186898,98.4,98.5,99.9364471435547
Comores,,,,,,,,,,,,,,,,51.2086524963379,53.4335327148438,55.6538887023926,57.8813018798828,60.1273612976074,70.1040878295898,69.6052703857422,69.3,69.5024032592773,71.9505767822266,74.4254531860352,76.9181213378906,79.4196929931641,81.9227523803711
Cabo Verde,,,,,,,,,,,,,58.6,63.3492012023926,65.2829208374023,67.0,69.0842132568359,70.972282409668,72.8674163818359,74.7811889648438,81.1,79.3685836791992,80.7467956542969,82.8270874023438,84.9429702758789,87.085563659668,89.2459487915039,91.4152297973633,93.5859985351563
Costa Rica,,,,,98.1022186279297,98.1937484741211,98.2876663208008,98.3845825195313,98.484245300293,98.5830307006836,98.6764755249023,98.24978,98.509188,98.695902,98.954779,99.053051,99.147523,99.217998,99.263937,99.409804,98.995734,99.232348,99.503298,99.563517,99.359291,99.409804,99.5,99.6,100.0
Petits états des Caraïbes,80.7291217513539,83.64214930113747,84.34699209477289,83.15383803758758,83.41823049953516,84.0134689784283,86.725463163936,85.21529505355429,85.6764800542823,87.73403317589666,86.58415488659563,89.2990415485193,89.13691916841347,89.33444600098619,89.84648122666138,90.36086843903945,90.78921155245531,91.77919054236669,92.93751029086792,92.22618941178862,93.33060999597087,93.33886874405266,94.43145704252666,94.97677225848956,94.96034237408341,95.74414741221798,97.10167317992695,97.7674212166884,98.40160237412152
